item_price_id,item_id,price,name,description,creator,date_created,changed_by,date_changed,retired,retired_by,uuid,has_expiration
724,150.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,476365f6-5bc4-11e2-a081-b4b52f5b1c99
725,250.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47636843-5bc4-11e2-a081-b4b52f5b1c99
727,110.0,OPD,,11,2014-12-13 14:33:51,1970-01-01 00:00:00.000000011,2014-12-13 14:33:51,1970-01-01,,,,47636ce6-5bc4-11e2-a081-b4b52f5b1c99
728,130.0,OPD,,11,2014-12-13 13:17:19,1970-01-01 00:00:00.000000011,2014-12-13 13:17:19,1970-01-01,,,,476371bf-5bc4-11e2-a081-b4b52f5b1c99
729,190.0,OPD,,11,2014-12-13 13:08:17,1970-01-01 00:00:00.000000011,2014-12-13 13:08:17,1970-01-01,,,,47637419-5bc4-11e2-a081-b4b52f5b1c99
732,160.0,OPD,,11,2014-12-18 13:27:21,1970-01-01 00:00:00.000000011,2014-12-18 13:27:21,1970-01-01,,,,47637b2f-5bc4-11e2-a081-b4b52f5b1c99
733,200.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47637d80-5bc4-11e2-a081-b4b52f5b1c99
734,100.0,OPD,,11,2015-03-13 11:16:39,1970-01-01 00:00:00.000000011,2015-03-13 11:16:39,1970-01-01,,,,47637fd6-5bc4-11e2-a081-b4b52f5b1c99
736,190.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47638496-5bc4-11e2-a081-b4b52f5b1c99
738,70.0,OPD,,3,2014-12-15 10:06:49,1970-01-01 00:00:00.000000003,2014-12-15 10:06:49,1970-01-01,,,,47638939-5bc4-11e2-a081-b4b52f5b1c99
739,60.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47638b81-5bc4-11e2-a081-b4b52f5b1c99
740,110.0,OPD,,11,2014-12-13 14:27:29,1970-01-01 00:00:00.000000011,2014-12-13 14:27:29,1970-01-01,,,,47638dec-5bc4-11e2-a081-b4b52f5b1c99
741,190.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763903d-5bc4-11e2-a081-b4b52f5b1c99
743,230.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47639c31-5bc4-11e2-a081-b4b52f5b1c99
744,560.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47639ebe-5bc4-11e2-a081-b4b52f5b1c99
746,70.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763a35c-5bc4-11e2-a081-b4b52f5b1c99
747,480.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763a5b2-5bc4-11e2-a081-b4b52f5b1c99
749,370.0,OPD,,3,2013-01-22 13:43:13,1970-01-01 00:00:00.000000003,2013-01-22 13:43:13,1970-01-01,,,,4763aa7b-5bc4-11e2-a081-b4b52f5b1c99
750,120.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763accc-5bc4-11e2-a081-b4b52f5b1c99
751,330.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763af1d-5bc4-11e2-a081-b4b52f5b1c99
752,200.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763b73c-5bc4-11e2-a081-b4b52f5b1c99
753,86.0,,,3,2014-11-26 12:57:56,1970-01-01 00:00:00.000000003,2014-11-26 12:57:56,1970-01-01,,,,4763b995-5bc4-11e2-a081-b4b52f5b1c99
754,60.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763bbda-5bc4-11e2-a081-b4b52f5b1c99
755,45.0,,,3,2014-12-11 11:29:06,1970-01-01 00:00:00.000000003,2014-12-11 11:29:06,1970-01-01,,,,4763c038-5bc4-11e2-a081-b4b52f5b1c99
756,4.0,,,3,2014-12-11 12:39:24,1970-01-01 00:00:00.000000003,2014-12-11 12:39:24,1970-01-01,,,,4763c29f-5bc4-11e2-a081-b4b52f5b1c99
757,11.5,,,3,2014-12-11 11:36:49,1970-01-01 00:00:00.000000003,2014-12-11 11:36:49,1970-01-01,,,,4763c4ec-5bc4-11e2-a081-b4b52f5b1c99
758,86.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763c730-5bc4-11e2-a081-b4b52f5b1c99
